attn_gate,learning_rate,final_loss,train_time
elementwise,0.0036,3.9348801374435425,5m 35.7s
elementwise,0.00396,3.9114786386489864,5m 32.5s
elementwise,0.00432,3.891968011856079,5m 31.9s
elementwise,0.00468,3.87432062625885,5m 34.6s
none,0.0036,3.91671085357666,5m 14.5s
none,0.00396,3.8963968753814697,5m 14.6s
none,0.00432,3.8798065185546875,5m 13.2s
none,0.00468,3.8640209436416626,5m 15.3s
